index,brand,id,name,num_reviews,rating,total_stars,bayesian_est
/power-advanced-wrinkle-fighter-360-eye-serum-P404169,Algenist,P404169,POWER Advanced Wrinkle Fighter 360° Eye Serum,1,5,5.0,3.0
/professional-strength-micropoint-pm-patch-system-advanced-eye-wrinkle-treatment-P404324,Peter Thomas Roth,P404324,PROfessional Strength MicroPoint PM Patch System Advanced Eye Wrinkle Treatment,6,4.8333,28.9998,3.6874875
/abeille-royale-gold-eyetech-eye-sculpt-serum-P403606,Guerlain,P403606,Abeille Royale Gold Eyetech Eye Sculpt Serum,5,4.8,24.0,3.6
/eye-lift-firming-treatment-P404007,Murad,P404007,Eye Lift Firming Treatment,11,4.6364,51.0004,3.85716190476
/kakadu-c-eye-souffle-P396403,DERMAdoctor,P396403,Kakadu C™ Eye Soufflé,15,4.5333,67.9995,3.91998
/sun-protection-eye-cream-broad-spectrum-spf-34-sunscreen-P384788,Shiseido,P384788,Sun Protection Eye Cream Broad Spectrum SPF 34 Sunscreen,22,4.5,99.0,4.03125
/lotus-caress-to-moisturize-eyes-P399712,Kenzoki,P399712,Lotus Caress to Moisturize Eyes,2,4.5,9.0,3.25
/eye-dew-total-eye-cream-P400250,Farmacy,P400250,Eye Dew Total Eye Cream,22,4.4091,97.0002,3.96875625
/high-performance-continuous-moisture-eye-cream-P72706,Anthony,P72706,High Performance Continuous Moisture Eye Cream,34,4.3235,146.999,4.02270454545
/benefiance-wrinkleresist24-intensive-eye-contour-cream-P173620,Shiseido,P173620,Benefiance WrinkleResist24 Intensive Eye Contour Cream,1342,4.3234,5802.0028,4.31361153846
/renew-hydrate-eye-cream-P293902,bareMinerals,P293902,Renew & Hydrate Eye Cream,1362,4.2878,5839.9836,4.27841370262
/creme-ancienne-eye-cream-P268416,Fresh,P268416,Crème Ancienne Eye Cream,71,4.2676,302.9996,4.11110617284
/reviving-eye-cream-P309211,Omorovicza,P309211,Reviving Eye Cream,8,4.25,34.0,3.55555555556
/nutri-define-eye-contour-balm-P399982,Jurlique,P399982,Nutri-Define Eye Contour Balm,4,4.25,17.0,3.35714285714
/mega-rich-intensive-anti-aging-cellular-eye-creme-P116610,Peter Thomas Roth,P116610,Mega Rich Intensive Anti-Aging Cellular Eye Creme,203,4.2463,861.9989,4.18778826291
